EAN;SKU;descripcion;precio_unitario;proveedor
8806718031938;100001;3-GEL SUSP SACX10ML CJAX20UND;13.48;DROGUERIA PERU S.A.C
7750218009250;100043;ABRIFLU 35MG/5ML JBE FCOX120ML;4.9;LABORATORIOS PORTUGAL S R L
4104480705175;100045;ABRILAR JBE FCOx100ML;16.34;DISTRIBUIDORA DROGUERIA ALFARO
4015630981977;100052;ACCU-CHEK  PERFORMA TIRA REACT.CJAX50UND;80.65;PRODUCTOS ROCHE Q F S A
7752092000033;100062;ACEITE DE RICINO GCP. CAP CJAX50UND;16.04;GENCOPHARMACEUTICAL S.A.C.
77506597;100064;ACEITE DE RICINO ERZA FCOX60ML;2.07;INSTITUTO BIOQUIMICO ERZA S.A.C.
7757686303934;100065;ACEITE ROSADO ERZA SOL FCOX30ML;1.26;INSTITUTO BIOQUIMICO ERZA S.A.C.
7757686303897;100067;ACEITE TIPO ALMENDRAS ERZA FCOX30ML;0.96;INSTITUTO BIOQUIMICO ERZA S.A.C.
7750831018110;100068;ACEPOT 1ML INY IM/IA/IL CJAX1UND;15.69;TEVA PERU S.A.
7759307005913;100071;ACETAK 250MG TAB CJAX20UND;39.71;MEDIFARMA S A
7757686303927;100073;ACETONA ERZA SOL FCOX30ML;1.23;INSTITUTO BIOQUIMICO ERZA S.A.C.
7750778592278;100079;ACICLOVIR LANSIER 3% UNG.OFT TBOX3.5G;16.86;LABORATORIOS LANSIER S.A.C.
7750304007115;100080;ACICLOVIR FTR. 5%  CR.TOP TBOX5G;2.12;FARMINDUSTRIA S.A.
7750304006910;100081;ACICLOVIR FTR. 800MG TAB CJAX10UND;4.7;FARMINDUSTRIA S.A.
7702605150052;100082;ACICLOVIR GEF. 5% UNG TBOX15G;2.8;GENFAR DEL PERÚ SAC
7702605150021;100083;ACICLOVIR GEF. 800MG TAB CJAX10UND;3.94;GENFAR DEL PERÚ SAC
7755783556291;100092;ACIDO BORICO PVO BOLX10G;0.11;ZELTENPACK S.A.C.
7750215103098;100093;ACIDO BORICO PTG. PVO CJAX50G;0.53;LABORATORIOS PORTUGAL S R L
7757686411974;100095;ACIDO BORICO ERZA PVO FCOX50G;1.88;INSTITUTO BIOQUIMICO ERZA S.A.C.
7750215001844;100097;ACIDO FOLICO PTG. 0.5MG TAB CJAX100UND;3.56;LABORATORIOS PORTUGAL S R L
7750958000210;100098;ACI-TIP 800-40MG TAM CJAX140UND;115.93;DISTRIBUIDORA DROGUERIA ALFARO
7460536555048;100100;ACI-TIP 800-60MG/10ML SUSP FCOX200ML;19.21;DISTRIBUIDORA DROGUERIA ALFARO
7612797487150;100101;ACLASTA 5MG/100ML SOL P/PERF.FCO-VX100ML;1059.53;H REPS S.A.C.
7759307589826;100104;ACNOMEL CR TBOX30G;18.02;MEDIFARMA S A
7759307631242;100106;ACNOMEL JAB BARX100G;4.07;MEDIFARMA S A
7800028001750;100108;ACNOTIN 10MG CAB CJA 30UND;100.76;LABORATORIOS BAGO DEL PERU S.A.
7800028002757;100109;ACNOTIN 20MG CAB CJAX30UND;155.45;LABORATORIOS BAGO DEL PERU S.A.
7750304964555;100126;ADAX 100MG/5ML SUSP FCOX120ML, PED;22.42;FARMINDUSTRIA S.A.
7750304003506;100128;ADAX 600MG TAB CJAX60UND;62.1;FARMINDUSTRIA S.A.
